Año,Queja,Fecha de recepción,Concepto de archivo,Autoridad presunta responsable,Tipo de Autoridad,Supuesta violación,Municipio o población
2016,3494,2/25/2016,Se emitió recomendación,Secretaría de Salud,Secretaría de Salud,Violación al derecho a la igualdad y al trato digno,Tlajomulco De Zúñiga
2016,3494,2/25/2016,Se emitió recomendación,Secretaría de Salud,Secretaría de Salud,Abuso sexual,Tlajomulco De Zúñiga
2016,3512,3/1/2016,Se emitió recomendación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Abuso sexual,Tonalá
2016,3512,3/1/2016,Se emitió recomendación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Violación a los derechos del niño,Tonalá
2016,3519,3/1/2016,Conciliación,Dirección de Seguridad Pública de Tlaquepaque,Dirección de Seguridad Municipal,Violación a los derechos laborales,Tlaquepaque
2016,3519,3/1/2016,Conciliación,Dirección de Seguridad Pública de Tlaquepaque,Dirección de Seguridad Municipal,Hostigamiento sexual,Tlaquepaque
2016,3704,3/4/2016,Archivo definitivo,Fiscalía Central,Fiscalía Central,Violación al derecho a la igualdad y al trato digno,Zapopan
2016,3704,3/4/2016,Archivo definitivo,Fiscalía Central,Fiscalía Central,Abuso sexual,Zapopan
2016,3704,3/4/2016,Archivo definitivo,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Abuso sexual,Zapopan
2016,3704,3/4/2016,Archivo definitivo,Fiscalía Central,Fiscalía Central,Violación a los derechos del niño,Zapopan
2016,3704,3/4/2016,Archivo definitivo,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Violación a los derechos del niño,Zapopan
2016,3704,3/4/2016,Archivo definitivo,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Violación al derecho a la igualdad y al trato digno,Zapopan
2016,4020,3/9/2016,Conciliación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Hostigamiento sexual,El Salto
2016,4020,3/9/2016,Conciliación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Violación a los derechos del niño,El Salto
2016,4024,3/9/2016,Conciliación,Ayuntamiento de El Salto,Ayuntamiento,Hostigamiento sexual,El Salto
2016,4024,3/9/2016,Conciliación,Dirección de Seguridad Pública de El Salto,Dirección de Seguridad Municipal,Hostigamiento sexual,El Salto
2016,4024,3/9/2016,Conciliación,Ayuntamiento de El Salto,Ayuntamiento,Violación a los derechos laborales,El Salto
2016,4024,3/9/2016,Conciliación,Dirección de Seguridad Pública de El Salto,Dirección de Seguridad Municipal,Violación a los derechos laborales,El Salto
2016,4037,3/10/2016,Se emitió recomendación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Hostigamiento sexual,Guadalajara
2016,4037,3/10/2016,Se emitió recomendación,Secretaría de Educación del Estado,Secretaría de Educación del Estado,Violación a los derechos laborales,Guadalajara
